text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @sarvmanglamcom: @SandipGhose  Amethi<U+2194>Rae Bareli got enough education in all these years to earn livelihood #UPElection2017 #<U+0917><U+0920><U+092C><U+0902><U+0927><U+0928>_<U+0915><U+0940>_…,FALSE,0,NA,27-02-2017 04:43,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumit909752,6,TRUE,FALSE,NA,NA
"RT @RAJEEVGUPTACA: #uppolls #UPElection2017 
 #<U+092D><U+093E><U+091C><U+092A><U+093E><U+092E><U+092F>_<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092C><U+0928><U+093E><U+092F><U+0947><U+0902> 

People want Development, NOT Rape,Crime and Corruption https://…",FALSE,0,NA,27-02-2017 04:38,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GetRidofDevils,6,TRUE,FALSE,NA,NA
"RT @CJ_India: Frustration can be seen on News Anchor's faces while #UPElection2017.
#<U+092D><U+093E><U+091C><U+092A><U+093E><U+092E><U+092F>_<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> is turning into reality.
#UP #Mond…",FALSE,0,NA,27-02-2017 04:38,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GetRidofDevils,2,TRUE,FALSE,NA,NA
"Tonight at 8 pm, meet me at Khabar_NWI #UPElection2017 #upelections2017 https://t.co/5eH9hn7A0q -MT",FALSE,2,NA,27-02-2017 04:38,FALSE,NA,8.36E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",TeamManojTiwari,2,FALSE,FALSE,NA,NA
"Tonight at 8 pm, meet me at @Khabar_NWI #UPElection2017 #upelections2017 https://t.co/jWZqdRwULX",FALSE,28,NA,27-02-2017 04:37,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ManojTiwariMP,13,FALSE,FALSE,NA,NA
"#AssemblyElections2017 | Uttar Pradesh records 10.8% voter turnout till 9am in Phase 5 of #UPElection2017 

Updates… https://t.co/vfhVYCZy3n",FALSE,15,NA,27-02-2017 04:36,TRUE,NA,8.36E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",ndtv,4,FALSE,FALSE,NA,NA
"#UPElection2017 : #live As Gandhi bastion votes in fifth phase, will #Amethi ask for its pound of flesh?… https://t.co/mTc6OBISle",FALSE,0,NA,27-02-2017 04:32,TRUE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",yupptv,0,FALSE,FALSE,NA,NA
"War rooms and #UPpolls2017: #AkhileshYadav takes on #Modi at his own game
https://t.co/BJUZNPzguw

#USAssemblypolls2017  #UPElection2017",FALSE,0,NA,27-02-2017 04:30,FALSE,NA,8.36E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",aaliyagoyel1,0,FALSE,FALSE,NA,NA
Phase5 voting today. Go vote. #upvotes #vote4change #UPElection2017 https://t.co/QasO3pYk2w,FALSE,0,NA,27-02-2017 04:28,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tweetkhyati,0,FALSE,FALSE,NA,NA
"every party saying they will get 300+ in #UPElection2017 ,does #UttarPradesh have that many(1200) Mla seats!?#uttarpradeshpolls2017 #Poll",FALSE,0,NA,27-02-2017 04:26,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",am_CommonMan,0,FALSE,FALSE,NA,NA
#UPElection2017 Enough of this election tourism of MSM. When this election will end?@mediacrooks,FALSE,0,NA,27-02-2017 04:24,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nagendrairse,0,FALSE,FALSE,NA,NA
"RT @abpnewstv: #UPElection2017 : 86-year-old voter exercises franchise in Ayodhya

VIDEO: https://t.co/3QfkRJgh9i https://t.co/SoIFT4HpBB",FALSE,0,NA,27-02-2017 04:22,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HappaNarinder,6,TRUE,FALSE,NA,NA
"Saffron wave is sweeping entire #Purvanchal.
#UP<U+0938><U+0939><U+092E><U+0924>_BJP<U+092A><U+0942><U+0930><U+094D><U+0923><U+092C><U+0939><U+0941><U+092E><U+0924> #UPElection2017",FALSE,0,NA,27-02-2017 04:21,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PavanEvergreen,0,FALSE,FALSE,NA,NA
